date,kickoff_local,competition,home_team,away_team,intensity,is_ireland_match
2024-07-31,14:00,Horse Racing,Galway Racecourse,,3,True
2024-08-01,14:00,Horse Racing,Galway Racecourse,,3,True
2024-08-02,14:00,Horse Racing,Galway Racecourse,,3,True
2024-08-03,14:00,Horse Racing,Galway Racecourse,,3,True
2024-08-04,14:00,Horse Racing,Galway Racecourse,,3,True
2024-12-26,13:00,Horse Racing,Leopardstown,,3,True
2024-12-27,13:00,Horse Racing,Leopardstown,,3,True
2024-12-28,13:00,Horse Racing,Leopardstown,,3,True
2024-12-29,13:00,Horse Racing,Leopardstown,,3,True
2025-02-01,14:00,Horse Racing,Leopardstown,,2,True
2025-02-02,14:00,Horse Racing,Leopardstown,,2,True
2025-03-11,13:30,Horse Racing,Cheltenham,,3,True
2025-03-12,13:30,Horse Racing,Cheltenham,,3,True
2025-03-13,13:30,Horse Racing,Cheltenham,,3,True
2025-03-14,13:30,Horse Racing,Cheltenham,,3,True
2025-04-05,14:00,Horse Racing,Aintree,,2,True
2025-04-21,14:00,Horse Racing,Fairyhouse,,2,True
2025-04-22,14:00,Horse Racing,Punchestown,,3,True
2025-04-23,14:00,Horse Racing,Punchestown,,3,True
2025-04-24,14:00,Horse Racing,Punchestown,,3,True
2025-04-25,14:00,Horse Racing,Punchestown,,3,True
2025-04-26,14:00,Horse Racing,Punchestown,,3,True
2025-06-28,14:00,Horse Racing,The Curragh,,2,True
2025-07-28,14:00,Horse Racing,Galway Racecourse,,3,True
2025-07-29,14:00,Horse Racing,Galway Racecourse,,3,True
2025-07-30,14:00,Horse Racing,Galway Racecourse,,3,True
2025-07-31,14:00,Horse Racing,Galway Racecourse,,3,True
2025-08-01,14:00,Horse Racing,Galway Racecourse,,3,True
2025-08-02,14:00,Horse Racing,Galway Racecourse,,3,True
2025-08-03,14:00,Horse Racing,Galway Racecourse,,3,True
2025-12-26,13:00,Horse Racing,Leopardstown,,3,True
2025-12-27,13:00,Horse Racing,Leopardstown,,3,True
2025-12-28,13:00,Horse Racing,Leopardstown,,3,True
2025-12-29,13:00,Horse Racing,Leopardstown,,3,True
2026-02-07,14:00,Horse Racing,Leopardstown,,2,True
2026-02-08,14:00,Horse Racing,Leopardstown,,2,True
2026-03-10,13:30,Horse Racing,Cheltenham,,3,True
2026-03-11,13:30,Horse Racing,Cheltenham,,3,True
2026-03-12,13:30,Horse Racing,Cheltenham,,3,True
2026-03-13,13:30,Horse Racing,Cheltenham,,3,True
2026-04-06,14:00,Horse Racing,Fairyhouse,,2,True
2026-04-11,14:00,Horse Racing,Aintree,,2,True
2026-04-28,14:00,Horse Racing,Punchestown,,3,True
2026-04-29,14:00,Horse Racing,Punchestown,,3,True
2026-04-30,14:00,Horse Racing,Punchestown,,3,True
2026-05-01,14:00,Horse Racing,Punchestown,,3,True
2026-05-02,14:00,Horse Racing,Punchestown,,3,True
2026-06-27,14:00,Horse Racing,The Curragh,,2,True
2026-07-27,14:00,Horse Racing,Galway Racecourse,,3,True
2026-07-28,14:00,Horse Racing,Galway Racecourse,,3,True
2026-07-29,14:00,Horse Racing,Galway Racecourse,,3,True
2026-07-30,14:00,Horse Racing,Galway Racecourse,,3,True
2026-07-31,14:00,Horse Racing,Galway Racecourse,,3,True
2026-08-01,14:00,Horse Racing,Galway Racecourse,,3,True
2026-08-02,14:00,Horse Racing,Galway Racecourse,,3,True
2026-12-26,13:00,Horse Racing,Leopardstown,,3,True
2026-12-27,13:00,Horse Racing,Leopardstown,,3,True
2026-12-28,13:00,Horse Racing,Leopardstown,,3,True
2026-12-29,13:00,Horse Racing,Leopardstown,,3,True
